datereceived,product,banks,community
"08/09/2013","Mortgage","Bank of America","Hispanic"
"12/17/2012","Mortgage","Bank of America","Hispanic"
"03/25/2013","Mortgage","Other","Hispanic"
"02/01/2013","Credit card","JPMorgan Chase","Hispanic"
"08/21/2013","Mortgage","Nationstar Mortgage","Hispanic"
"01/14/2013","Mortgage","Ocwen","Hispanic"
"07/18/2012","Mortgage","Bank of America","Hispanic"
"03/07/2012","Mortgage","Bank of America","Hispanic"
"10/04/2013","Student loan","Sallie Mae","Hispanic"
"05/22/2013","Mortgage","Ocwen","Hispanic"
"11/27/2012","Mortgage","Bank of America","Hispanic"
"08/21/2013","Mortgage","Bank of America","Hispanic"
"05/19/2012","Mortgage","JPMorgan Chase","Hispanic"
"03/14/2012","Mortgage","Bank of America","Hispanic"
"04/17/2013","Credit card","Citibank","Hispanic"
"05/28/2013","Bank account or service","Citibank","Hispanic"
"12/05/2011","Credit card","Capital One","Hispanic"
"04/04/2013","Mortgage","Bank of America","Hispanic"
"07/01/2013","Mortgage","Wells Fargo","Hispanic"
"09/18/2013","Bank account or service","Wells Fargo","Hispanic"
"04/16/2013","Credit reporting","TransUnion","Hispanic"
"03/25/2013","Mortgage","U.S. Bancorp","Hispanic"
"06/06/2013","Mortgage","Other","Hispanic"
"02/07/2013","Mortgage","Wells Fargo","Hispanic"
"07/30/2012","Bank account or service","U.S. Bancorp","Hispanic"
"03/18/2013","Mortgage","Wells Fargo","Hispanic"
"06/21/2013","Mortgage","Bank of America","Hispanic"
"05/01/2012","Bank account or service","Bank of America","Hispanic"
"04/16/2013","Credit reporting","Experian","Hispanic"
"01/24/2013","Mortgage","Bank of America","Hispanic"
"01/31/2013","Mortgage","Bank of America","Hispanic"
"12/27/2012","Mortgage","Wells Fargo","Hispanic"
"08/05/2013","Bank account or service","Wells Fargo","Hispanic"
"10/10/2013","Consumer loan","Other","Hispanic"
"05/09/2012","Bank account or service","Wells Fargo","Hispanic"
"03/13/2013","Credit card","Bank of America","Hispanic"
"08/10/2012","Mortgage","Other","Hispanic"
"11/08/2012","Mortgage","Other","Hispanic"
"03/01/2013","Mortgage","Bank of America","Hispanic"
"03/05/2012","Mortgage","Wells Fargo","Hispanic"
"03/20/2013","Mortgage","JPMorgan Chase","Hispanic"
"06/15/2012","Student loan","Sallie Mae","Hispanic"
"01/18/2013","Bank account or service","Bank of America","Hispanic"
"02/26/2013","Credit card","Capital One","Hispanic"
"12/06/2012","Credit reporting","Equifax","Hispanic"
"05/14/2013","Mortgage","JPMorgan Chase","Hispanic"
"04/10/2013","Mortgage","Wells Fargo","Hispanic"
"01/14/2013","Mortgage","Wells Fargo","Hispanic"
"08/19/2013","Bank account or service","U.S. Bancorp","Hispanic"
"04/05/2013","Bank account or service","Amex","Hispanic"
"03/28/2012","Bank account or service","U.S. Bancorp","Hispanic"
"06/20/2013","Mortgage","Wells Fargo","Hispanic"
"07/18/2012","Mortgage","U.S. Bancorp","Hispanic"
"03/13/2012","Credit card","Bank of America","Hispanic"
"02/02/2012","Credit card","Other","Hispanic"
"04/03/2013","Mortgage","Citibank","Hispanic"
"10/09/2012","Bank account or service","Bank of America","Hispanic"
"03/13/2012","Student loan","Sallie Mae","Hispanic"
"08/16/2013","Credit card","HSBC","Hispanic"
"08/27/2013","Bank account or service","JPMorgan Chase","Hispanic"
"04/02/2012","Bank account or service","Bank of America","Hispanic"
"09/27/2012","Mortgage","Nationstar Mortgage","Hispanic"
"04/26/2012","Bank account or service","JPMorgan Chase","Hispanic"
"01/16/2013","Bank account or service","JPMorgan Chase","Hispanic"
"03/23/2013","Student loan","Sallie Mae","Hispanic"
"08/14/2012","Student loan","Wells Fargo","Hispanic"
"04/02/2013","Credit card","Citibank","Hispanic"
"03/13/2012","Consumer loan","Wells Fargo","Hispanic"
"12/06/2012","Credit reporting","Experian","Hispanic"
"01/08/2013","Mortgage","Ocwen","Hispanic"
"04/29/2013","Credit card","Citibank","Hispanic"
"08/05/2012","Bank account or service","Bank of America","Hispanic"
"03/05/2012","Student loan","Wells Fargo","Hispanic"
"04/15/2013","Mortgage","Wells Fargo","Hispanic"
"02/09/2012","Mortgage","JPMorgan Chase","Hispanic"
"08/30/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"09/13/2013","Mortgage","Other","Hispanic"
"08/06/2013","Mortgage","PNC Bank","Hispanic"
"07/29/2013","Mortgage","Ocwen","Hispanic"
"09/24/2012","Bank account or service","Bank of America","Hispanic"
"03/28/2013","Credit card","GE Capital Retail","Hispanic"
"05/14/2013","Mortgage","Nationstar Mortgage","Hispanic"
"05/20/2013","Mortgage","Bank of America","Hispanic"
"10/12/2012","Bank account or service","Wells Fargo","Hispanic"
"05/23/2013","Mortgage","Ocwen","Hispanic"
"09/03/2013","Mortgage","Nationstar Mortgage","Hispanic"
"10/01/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"08/27/2013","Mortgage","Other","Hispanic"
"02/08/2013","Mortgage","Other","Hispanic"
"07/02/2013","Mortgage","PNC Bank","Hispanic"
"05/21/2013","Mortgage","SunTrust Bank","Hispanic"
"08/07/2013","Mortgage","Other","Hispanic"
"08/24/2013","Mortgage","Other","Hispanic"
"06/03/2013","Mortgage","Other","Hispanic"
"10/01/2013","Mortgage","Other","Hispanic"
"10/24/2012","Credit card","Amex","Hispanic"
"08/27/2013","Mortgage","Other","Hispanic"
"08/16/2013","Mortgage","Ocwen","Hispanic"
"06/03/2013","Mortgage","Nationstar Mortgage","Hispanic"
"01/31/2013","Mortgage","Nationstar Mortgage","Hispanic"
"06/03/2013","Mortgage","Ocwen","Hispanic"
"06/15/2012","Credit card","Citibank","Hispanic"
"05/25/2013","Mortgage","Ocwen","Hispanic"
"06/04/2012","Bank account or service","Wells Fargo","Hispanic"
"11/07/2012","Mortgage","Bank of America","Hispanic"
"05/17/2013","Mortgage","Ocwen","Hispanic"
"06/28/2013","Bank account or service","Wells Fargo","Hispanic"
"08/08/2013","Mortgage","Nationstar Mortgage","Hispanic"
"12/14/2011","Credit card","Citibank","Hispanic"
"08/30/2013","Mortgage","Bank of America","Hispanic"
"02/07/2013","Mortgage","Ocwen","Hispanic"
"08/24/2013","Mortgage","Bank of America","Hispanic"
"07/22/2012","Credit card","Amex","Hispanic"
"08/20/2013","Mortgage","Wells Fargo","Hispanic"
"09/23/2013","Mortgage","Citibank","Hispanic"
"01/17/2013","Mortgage","Ocwen","Hispanic"
"07/22/2013","Mortgage","Other","Hispanic"
"03/22/2013","Mortgage","Fifth Third Bank","Hispanic"
"06/13/2013","Mortgage","HSBC","Hispanic"
"04/05/2012","Bank account or service","Bank of America","Hispanic"
"10/09/2013","Mortgage","HSBC","Hispanic"
"08/16/2013","Mortgage","Ocwen","Hispanic"
"08/30/2013","Mortgage","Other","Hispanic"
"08/12/2013","Mortgage","Ocwen","Hispanic"
"09/11/2013","Mortgage","Other","Hispanic"
"07/16/2012","Mortgage","JPMorgan Chase","Hispanic"
"09/03/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"07/31/2013","Mortgage","Citibank","Hispanic"
"09/10/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"07/22/2013","Mortgage","Other","Hispanic"
"09/10/2013","Mortgage","Bank of America","Hispanic"
"07/31/2013","Mortgage","Other","Hispanic"
"09/26/2013","Mortgage","Other","Hispanic"
"10/01/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"09/13/2013","Bank account or service","Bank of America","Hispanic"
"04/12/2012","Student loan","Sallie Mae","Hispanic"
"01/25/2013","Mortgage","Wells Fargo","Hispanic"
"06/13/2013","Mortgage","Ocwen","Hispanic"
"08/30/2013","Mortgage","Other","Hispanic"
"05/16/2013","Mortgage","Other","Hispanic"
"07/22/2013","Mortgage","Other","Hispanic"
"08/27/2013","Mortgage","Nationstar Mortgage","Hispanic"
"05/21/2013","Mortgage","Other","Hispanic"
"09/05/2013","Mortgage","Nationstar Mortgage","Hispanic"
"09/24/2013","Mortgage","Other","Hispanic"
"09/21/2012","Student loan","Sallie Mae","Hispanic"
"03/28/2013","Mortgage","JPMorgan Chase","Hispanic"
"03/22/2012","Mortgage","Bank of America","Hispanic"
"04/03/2012","Mortgage","Bank of America","Hispanic"
"07/15/2013","Student loan","JPMorgan Chase","Hispanic"
"05/24/2013","Mortgage","Nationstar Mortgage","Hispanic"
"01/11/2013","Mortgage","Bank of America","Hispanic"
"11/16/2012","Mortgage","Nationstar Mortgage","Hispanic"
"04/09/2013","Mortgage","JPMorgan Chase","Hispanic"
"09/25/2012","Bank account or service","Bank of America","Hispanic"
"02/07/2013","Credit reporting","Equifax","Hispanic"
"07/30/2013","Mortgage","Other","Hispanic"
"08/17/2012","Mortgage","U.S. Bancorp","Hispanic"
"09/19/2012","Consumer loan","Other","Hispanic"
"10/11/2012","Credit card","Capital One","Hispanic"
"06/17/2013","Bank account or service","JPMorgan Chase","Hispanic"
"01/08/2013","Mortgage","Bank of America","Hispanic"
"09/24/2012","Mortgage","OneWest Bank","Hispanic"
"02/08/2013","Mortgage","Bank of America","Hispanic"
"12/05/2012","Bank account or service","Wells Fargo","Hispanic"
"03/15/2013","Bank account or service","U.S. Bancorp","Hispanic"
"01/03/2013","Mortgage","Other","Black"
"08/10/2012","Mortgage","Select Portfolio Servicing, Inc","Black"
"04/04/2012","Mortgage","Bank of America","Black"
"07/30/2012","Mortgage","Bank of America","Black"
"12/17/2012","Credit card","Capital One","Black"
"07/01/2013","Mortgage","Bank of America","Black"
"01/09/2013","Mortgage","OneWest Bank","Black"
"07/26/2013","Mortgage","Bank of America","Black"
"07/15/2013","Mortgage","Select Portfolio Servicing, Inc","Black"
"03/05/2013","Mortgage","Wells Fargo","Black"
"07/10/2012","Mortgage","Select Portfolio Servicing, Inc","Black"
"08/28/2013","Mortgage","Ocwen","Black"
"08/25/2012","Mortgage","Bank of America","Black"
"08/20/2012","Bank account or service","Bank of America","Black"
"01/02/2013","Credit card","Bank of America","Black"
"04/09/2012","Bank account or service","Other","Black"
