state,entity
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AK","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Starbucks"
"AL","Dunkin Donuts"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
