city,state,entity,count,citystate
"Austin","TX","Dunkin Donuts",1,"Austin, TX"
"Austin","TX","Starbucks",54,"Austin, TX"
"Charlotte","NC","Dunkin Donuts",15,"Charlotte, NC"
"Charlotte","NC","Starbucks",48,"Charlotte, NC"
"Chicago","IL","Dunkin Donuts",182,"Chicago, IL"
"Chicago","IL","Starbucks",175,"Chicago, IL"
"Columbus","OH","Dunkin Donuts",2,"Columbus, OH"
"Columbus","OH","Starbucks",33,"Columbus, OH"
"Dallas","TX","Dunkin Donuts",4,"Dallas, TX"
"Dallas","TX","Starbucks",85,"Dallas, TX"
"Detroit","MI","Dunkin Donuts",1,"Detroit, MI"
"Detroit","MI","Starbucks",6,"Detroit, MI"
"El Paso","TX","Dunkin Donuts",6,"El Paso, TX"
"El Paso","TX","Starbucks",18,"El Paso, TX"
"Fort Worth","TX","Dunkin Donuts",1,"Fort Worth, TX"
"Fort Worth","TX","Starbucks",25,"Fort Worth, TX"
"Houston","TX","Dunkin Donuts",6,"Houston, TX"
"Houston","TX","Starbucks",132,"Houston, TX"
"Indianapolis","IN","Dunkin Donuts",8,"Indianapolis, IN"
"Indianapolis","IN","Starbucks",45,"Indianapolis, IN"
"Jacksonville","FL","Dunkin Donuts",31,"Jacksonville, FL"
"Jacksonville","FL","Starbucks",31,"Jacksonville, FL"
"Los Angeles","CA","Starbucks",100,"Los Angeles, CA"
"Memphis","TN","Dunkin Donuts",3,"Memphis, TN"
"Memphis","TN","Starbucks",22,"Memphis, TN"
"New York","NY","Dunkin Donuts",131,"New York, NY"
"New York","NY","Starbucks",209,"New York, NY"
"Philadelphia","PA","Dunkin Donuts",116,"Philadelphia, PA"
"Philadelphia","PA","Starbucks",36,"Philadelphia, PA"
"Phoenix","AZ","Dunkin Donuts",15,"Phoenix, AZ"
"Phoenix","AZ","Starbucks",89,"Phoenix, AZ"
"San Antonio","TX","Dunkin Donuts",4,"San Antonio, TX"
"San Antonio","TX","Starbucks",69,"San Antonio, TX"
"San Diego","CA","Starbucks",119,"San Diego, CA"
"San Francisco","CA","Starbucks",83,"San Francisco, CA"
"San Jose","CA","Starbucks",69,"San Jose, CA"
