year,importer1,importer2,flow1,flow2
2009,"Antigua & Barbuda","Argentina",.41,0
2009,"Antigua & Barbuda","Andorra",0,0
2009,"Antigua & Barbuda","Austria",.23,0
2009,"Antigua & Barbuda","Albania",7.60e-11,0
2009,"Antigua & Barbuda","Armenia",0,0
2009,"Antigua & Barbuda","Azerbaijan",0,0
2009,"Antigua & Barbuda","Angola",0,0
2009,"Antigua & Barbuda","Algeria",3.07e-12,0
2009,"Antigua & Barbuda","Afghanistan",0,0
2009,"Antigua & Barbuda","Australia",.37,.25
2009,"Argentina","Andorra",0,0
2009,"Argentina","Austria",139.02,103.74
2009,"Argentina","Albania",.01,10.13
2009,"Argentina","Armenia",.12,3.11
2009,"Argentina","Azerbaijan",.12,19.94
2009,"Argentina","Angola",0,180.11
2009,"Argentina","Algeria",.09,807.4
2009,"Argentina","Afghanistan",0,2.71
2009,"Argentina","Australia",183.31,314.03
2009,"Andorra","Austria",0,0
2009,"Andorra","Albania",0,0
2009,"Andorra","Armenia",0,0
2009,"Andorra","Azerbaijan",0,0
2009,"Andorra","Angola",0,0
2009,"Andorra","Algeria",0,0
2009,"Andorra","Afghanistan",0,0
2009,"Andorra","Australia",0,0
2009,"Austria","Albania",73.58,90.68
2009,"Austria","Armenia",.95,57.43
2009,"Austria","Azerbaijan",51.25,63.42
2009,"Austria","Angola",.02,38.73
2009,"Austria","Algeria",58.31,266.41
2009,"Austria","Afghanistan",.02,11.92
2009,"Austria","Australia",58.37,888.65
2009,"Albania","Armenia",.42,0
2009,"Albania","Azerbaijan",3.01,0
2009,"Albania","Angola",0,0
2009,"Albania","Algeria",0,1.13
2009,"Albania","Afghanistan",0,2.25
2009,"Albania","Australia",1.14,.23
2009,"Armenia","Azerbaijan",0,0
2009,"Armenia","Angola",0,0
2009,"Armenia","Algeria",.3,.04
2009,"Armenia","Afghanistan",0,0
2009,"Armenia","Australia",3.41,.69
2009,"Azerbaijan","Angola",0,.02
2009,"Azerbaijan","Algeria",0,.38
2009,"Azerbaijan","Afghanistan",.02,63.34
2009,"Azerbaijan","Australia",5.71,147.18
2009,"Angola","Algeria",1.4,.05
2009,"Angola","Afghanistan",0,0
2009,"Angola","Australia",9.18,.03
2009,"Algeria","Afghanistan",1.2,0
2009,"Algeria","Australia",41.27,132.45
2009,"Afghanistan","Australia",25.27,.18
