year,importer1,importer2,flow1,flow2
2009,"Bahamas","Barbados",4.34,.22
2009,"Bahamas","Belize",.06,.85
2009,"Bahamas","Brazil",84.84,2.78
2009,"Bahamas","Bolivia",.08,.05
2009,"Bahamas","Belgium",3.63,11.39
2009,"Bahamas","Bosnia and Herzegovina",0,0
2009,"Bahamas","Bulgaria",1.8,.72
2009,"Bahamas","Belarus",0,.06
2009,"Bahamas","Benin",0,0
2009,"Bahamas","Burkina Faso",0,0
2009,"Bahamas","Burundi",0,0
2009,"Bahamas","Botswana",0,0
2009,"Bahamas","Bahrain",0,.13
2009,"Bahamas","Bhutan",0,0
2009,"Bahamas","Bangladesh",0,0
2009,"Bahamas","Brunei",0,0
2009,"Barbados","Belize",1.95,2.6
2009,"Barbados","Brazil",19.6,1.42
2009,"Barbados","Bolivia",.82,0
2009,"Barbados","Belgium",4.33,.03
2009,"Barbados","Bosnia and Herzegovina",0,.01
2009,"Barbados","Bulgaria",.62,.01
2009,"Barbados","Belarus",0,.01
2009,"Barbados","Benin",0,0
2009,"Barbados","Burkina Faso",0,0
2009,"Barbados","Burundi",0,0
2009,"Barbados","Botswana",0,0
2009,"Barbados","Bahrain",.04,0
2009,"Barbados","Bhutan",0,0
2009,"Barbados","Bangladesh",0,0
2009,"Barbados","Brunei",0,0
2009,"Belize","Brazil",4.4,.3
2009,"Belize","Bolivia",.01,0
2009,"Belize","Belgium",5.26,1.32
2009,"Belize","Bosnia and Herzegovina",0,0
2009,"Belize","Bulgaria",1.09,.48
2009,"Belize","Belarus",1.84,.03
2009,"Belize","Benin",0,0
2009,"Belize","Burkina Faso",0,0
2009,"Belize","Burundi",0,0
2009,"Belize","Botswana",0,0
2009,"Belize","Bahrain",0,0
2009,"Belize","Bhutan",0,0
2009,"Belize","Bangladesh",0,0
2009,"Belize","Brunei",0,.12
2009,"Brazil","Bolivia",1558.5,1008.83
2009,"Brazil","Belgium",1282.04,2537.43
2009,"Brazil","Bosnia and Herzegovina",1.66,18.92
2009,"Brazil","Bulgaria",32.41,195.74
2009,"Brazil","Belarus",539.4,118.45
2009,"Brazil","Benin",0,159.11
2009,"Brazil","Burkina Faso",.14,22
2009,"Brazil","Burundi",0,.23
2009,"Brazil","Botswana",.3,.9
2009,"Brazil","Bahrain",1.67,247.53
2009,"Brazil","Bhutan",0,0
2009,"Brazil","Bangladesh",82.4,392.98
2009,"Brazil","Brunei",0,.72
2009,"Bolivia","Belgium",18.98,52.6
2009,"Bolivia","Bosnia and Herzegovina",0,0
2009,"Bolivia","Bulgaria",.05,0
2009,"Bolivia","Belarus",0,.29
2009,"Bolivia","Benin",0,0
2009,"Bolivia","Burkina Faso",0,0
2009,"Bolivia","Burundi",0,0
2009,"Bolivia","Botswana",0,0
2009,"Bolivia","Bahrain",0,0
2009,"Bolivia","Bhutan",.04,0
